asin,brand,title,price,mrp,discount_pct,rating,review_count,size_tag,url
B097JMCG1B,Safari,"Safari Medium Thorium Neo 8 Wheels 55,66 and 77 Cm Small, and Large 4 Wheel Inline 3 Trolley Bags Polycarbonate 360 Degree Wheeling System Luggage,4 Wheel Inline Trolley Bags,Graphite Blue",5259.0,29100.0,81.9,4.0,28126,medium,https://www.amazon.in/dp/B097JMCG1B
B097GSSCLC,Safari,"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",1699.0,8999.0,81.1,4.2,33925,cabin,https://www.amazon.in/dp/B097GSSCLC
B0BV7HCF28,Safari,uppercase JFK (Large) 76Cm|Hardshellsided Check-in Inline Trolley Bag for Travel|Eco Polycarbonate Printed Luggage|Combination Lock|8 Wheel Inline Trolley Bag||(Denim Blue),4200.0,7000.0,40.0,4.3,1113,large,https://www.amazon.in/dp/B0BV7HCF28
B0FFBBFDRN,Skybags,"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",1799.0,6000.0,70.0,4.1,396,cabin,https://www.amazon.in/dp/B0FFBBFDRN
B0FFBBZT6M,Skybags,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFBBZT6M
B0FFB9M337,Skybags,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFB9M337
B0F5HLYQK3,Skybags,American Tourister Liftoff+ | Large Size Check-in Trolley Bag (79 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Seafoam Blue,3799.0,9800.0,61.2,4.1,2285,large,https://www.amazon.in/dp/B0F5HLYQK3
B0FFBD54QX,Skybags,"Skybags Streax | Check-in Trolley Bag, 66 Cm, Medium Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black| Spinner Wheel",2249.0,7500.0,70.0,4.1,396,medium,https://www.amazon.in/dp/B0FFBD54QX
B0FPXLMRCG,Skybags,Aristocrat Atlas Cabin Trolley Bag 55cm | Small | Hard Luggage | Smooth 8-Wheel Suitcase | Secure Combination Lock with Sturdy Zipper | Full Fabric Convipack | 3-Year Warranty (Pearl White),1579.0,6790.0,76.7,4.0,1169,cabin,https://www.amazon.in/dp/B0FPXLMRCG
B0DSJGQYGD,Skybags,"FUR JADEN The Voyager 65cm German Polycarbonate Travel Luggage Check-in ZIPLESS Suitcase with 8 StealthTech Silent Wheels, Double TSA Locks & Aerospace Grade Wide Trolley (Stark Black, Medium 24"")",7999.0,13000.0,38.5,4.3,56,medium,https://www.amazon.in/dp/B0DSJGQYGD
